beta,y2,curvature,n_mc,n_valid,n_fail,p_reconciled_better
0.0,1.49,0.0008592739096300577,1000,1000,0,1.0
0.0,-1.48,0.0009187001511788128,1000,1000,0,0.997
0.0,1.48,0.0009187001511788128,1000,1000,0,0.998
0.0,-1.47,0.000982662600765714,1000,1000,0,0.998
0.0,1.47,0.000982662600765714,1000,1000,0,0.997
0.0,-1.46,0.001051539787313995,1000,1000,0,0.997
0.0,1.46,0.001051539787313995,1000,1000,0,0.998
0.0,-1.45,0.001125744469935113,1000,1000,0,0.995
0.0,1.45,0.001125744469935113,1000,1000,0,0.997
0.0,-0.01,0.0011999999999615998,1000,1000,0,0.862
0.0,0.01,0.0011999999999615998,1000,1000,0,0.852
0.0,-1.44,0.0012057269647741244,1000,1000,0,0.995
0.0,1.44,0.0012057269647741244,1000,1000,0,0.997
0.0,-1.43,0.001291978816507661,1000,1000,0,0.992
0.0,1.43,0.001291978816507661,1000,1000,0,0.997
0.0,-1.42,0.001385036852220324,1000,1000,0,0.993
0.0,1.42,0.001385036852220324,1000,1000,0,0.991
0.0,-1.41,0.00148548765970461,1000,1000,0,0.997
0.0,1.41,0.00148548765970461,1000,1000,0,0.999
0.0,-1.4,0.0015939725370594567,1000,1000,0,0.995
0.0,1.4,0.0015939725370594567,1000,1000,0,0.996
0.0,-1.39,0.001711192965864326,1000,1000,0,0.996
0.0,1.39,0.001711192965864326,1000,1000,0,0.998
0.0,-1.38,0.0018379166662479064,1000,1000,0,0.997
0.0,1.38,0.0018379166662479064,1000,1000,0,0.996
0.0,-1.37,0.0019749842989293677,1000,1000,0,0.994
0.0,1.37,0.0019749842989293677,1000,1000,0,0.997
0.0,-1.36,0.0021233168868709552,1000,1000,0,1.0
0.0,1.36,0.0021233168868709552,1000,1000,0,0.999
0.0,-1.35,0.002283924037638442,1000,1000,0,0.995
0.0,1.35,0.002283924037638442,1000,1000,0,0.996
0.0,-1.34,0.002457913057026501,1000,1000,0,1.0
0.0,1.34,0.002457913057026501,1000,1000,0,0.997
0.0,-1.33,0.0026464990550864407,1000,1000,0,0.998
0.0,1.33,0.0026464990550864407,1000,1000,0,0.998
0.0,-1.32,0.0028510161575244905,1000,1000,0,0.993
0.0,1.32,0.0028510161575244905,1000,1000,0,0.997
0.0,-1.31,0.003072929948663575,1000,1000,0,0.996
0.0,1.31,0.003072929948663575,1000,1000,0,0.994
0.0,-1.3,0.003313851286939209,1000,1000,0,0.996
0.0,1.3,0.003313851286939209,1000,1000,0,0.998
0.0,-1.29,0.0035755516504052216,1000,1000,0,0.994
0.0,1.29,0.0035755516504052216,1000,1000,0,0.998
0.0,-1.28,0.003859980188148721,1000,1000,0,1.0
0.0,1.28,0.003859980188148721,1000,1000,0,0.995
0.0,-1.27,0.004169282674064593,1000,1000,0,0.997
0.0,1.27,0.004169282674064593,1000,1000,0,0.998
0.0,-1.26,0.004505822582343889,1000,1000,0,0.992
0.0,1.26,0.004505822582343889,1000,1000,0,0.992
0.0,-0.02,0.004799999990169601,1000,1000,0,0.871
0.0,0.02,0.004799999990169601,1000,1000,0,0.853
0.0,-1.25,0.004872204529531695,1000,1000,0,0.996
0.0,1.25,0.004872204529531695,1000,1000,0,0.996
0.0,-1.24,0.005271300356368939,1000,1000,0,0.996
0.0,1.24,0.005271300356368939,1000,1000,0,0.995
0.0,-1.23,0.005706278154125387,1000,1000,0,0.99
0.0,1.23,0.005706278154125387,1000,1000,0,0.993
0.0,-1.22,0.006180634575046596,1000,1000,0,0.989
0.0,1.22,0.006180634575046596,1000,1000,0,0.985
0.0,-1.21,0.0066982308051735835,1000,1000,0,0.991
0.0,1.21,0.0066982308051735835,1000,1000,0,0.996
0.0,-1.2,0.007263332620450754,1000,1000,0,0.995
0.0,1.2,0.007263332620450754,1000,1000,0,0.996
0.0,-1.19,0.007880654994009717,1000,1000,0,0.988
0.0,1.19,0.007880654994009717,1000,1000,0,0.991
0.0,-1.18,0.008555411774080894,1000,1000,0,0.989
0.0,1.18,0.008555411774080894,1000,1000,0,0.988
0.0,-1.17,0.009293371008384411,1000,1000,0,0.989
0.0,1.17,0.009293371008384411,1000,1000,0,0.998
0.0,-1.16,0.010100916552275385,1000,1000,0,0.991
0.0,1.16,0.010100916552275385,1000,1000,0,0.988
0.0,-0.03,0.010799999748057605,1000,1000,0,0.865
0.0,0.03,0.010799999748057605,1000,1000,0,0.867
0.0,-1.15,0.010985116664471408,1000,1000,0,0.992
0.0,1.15,0.010985116664471408,1000,1000,0,0.99
0.0,-1.14,0.011953800365858845,1000,1000,0,0.991
0.0,1.14,0.011953800365858845,1000,1000,0,0.989
0.0,-1.13,0.013015642413479798,1000,1000,0,0.996
0.0,1.13,0.013015642413479798,1000,1000,0,0.988
0.0,-1.12,0.0141802578229385,1000,1000,0,0.992
0.0,1.12,0.0141802578229385,1000,1000,0,0.985
0.0,-1.11,0.015458306957428303,1000,1000,0,0.994
0.0,1.11,0.015458306957428303,1000,1000,0,0.987
0.0,-1.1,0.016861612289265113,1000,1000,0,0.987
0.0,1.1,0.016861612289265113,1000,1000,0,0.987
0.0,-1.09,0.018403288028604223,1000,1000,0,0.984
0.0,1.09,0.018403288028604223,1000,1000,0,0.984
0.0,-0.04,0.01919999748341785,1000,1000,0,0.863
0.0,0.04,0.01919999748341785,1000,1000,0,0.863
0.0,-1.08,0.020097883901630576,1000,1000,0,0.99
0.0,1.08,0.020097883901630576,1000,1000,0,0.991
0.0,-1.07,0.021961544443826305,1000,1000,0,0.982
0.0,1.07,0.021961544443826305,1000,1000,0,0.983
0.0,-1.06,0.024012185248739843,1000,1000,0,0.983
0.0,1.06,0.024012185248739843,1000,1000,0,0.973
0.0,-1.05,0.026269687673482277,1000,1000,0,0.982
0.0,1.05,0.026269687673482277,1000,1000,0,0.978
0.0,-1.04,0.02875611354177527,1000,1000,0,0.979
0.0,1.04,0.02875611354177527,1000,1000,0,0.973
0.0,-0.05,0.02999998500000563,1000,1000,0,0.86
0.0,0.05,0.02999998500000563,1000,1000,0,0.846
0.0,-1.03,0.03149594139454397,1000,1000,0,0.968
0.0,1.03,0.03149594139454397,1000,1000,0,0.98
0.0,-1.02,0.03451632580507263,1000,1000,0,0.978
0.0,1.02,0.03451632580507263,1000,1000,0,0.972
